车名,车牌,类型,评分,最高价,最低价,总评数,差评词,差评词次数,总评前几,总评前几内容次数,好评词,好评词次数,手动耗油/L,自动耗油/L
飞度,本田,小型车,4.26,102800,73800,229,"隔音差,悬架减震硬,悬架减震硬",135,"乘坐空间不错,油耗满意,隔音差,悬架减震硬,悬架减震硬,转向精准,安全配置少的可怜,后排空间大,外观漂亮,外观时尚",575,"乘坐空间不错,油耗满意,转向精准",345,6.1,6.5
Polo,大众,小型车,4.25,146900,75900,1560,"乘坐空间小,后排空间小,安全配置太少",896,"油耗满意,外观时尚,乘坐空间小,后排空间小,转向精准,操控性能很好,安全配置太少,转向手感很轻,悬架减震偏硬,底盘悬架扎实",2861,"油耗满意,外观时尚,转向精准",1449,6.3,6.6
悦纳RV,现代,小型车,4.21,108800,78800,20,悬架偏硬,4,"乘坐空间还不错,油耗满意,外观时尚,转向手感很轻,悬架偏硬,后备厢空间很实用,储物空间很大,头部空间大",48,"乘坐空间还不错,油耗满意,外观时尚",31,5.5,5.5
起亚K2,起亚,小型车,4.19,103900,72900,192,"悬架减震硬,胎噪有点大,起步动力肉",113,"油耗满意,乘坐空间不错,外观漂亮,悬架减震硬,整车配置还算可以,后备厢空间大,转向手感很轻,胎噪有点大,转向精准,起步动力肉",554,"油耗满意,乘坐空间不错,外观漂亮",282,5.9,7.1
MINI,MINI,小型车,4.17,399000,188800,143,"转向手感太重,胎噪比较大,储物空间小",55,"乘坐空间够用,外观漂亮,油耗满意,转向手感太重,操控很棒,胎噪比较大,悬架偏硬,储物空间小,加速动力不错,路感反馈清晰",253,"乘坐空间够用,外观漂亮,油耗满意",132,7.7,8.1
骊威,日产,小型车,4.16,117200,85800,231,"悬架减震有点硬,储物空间太少,隔音差",33,"乘坐空间够用,油耗满意,后备厢空间大,外观漂亮,悬架减震有点硬,储物空间太少,保养费用免费,头部空间大,转向手感很轻,隔音差",317,"乘坐空间够用,油耗满意,后备厢空间大",230,6.8,7.5
金刚,吉利汽车,小型车,4.14,64900,43900,174,"悬架减震太硬,后排空间太小,外漆面有点薄",74,"后备厢空间大,外观漂亮,整车配置特别高,乘坐空间够用,悬架减震太硬,后排空间太小,外漆面有点薄,隔音不好,转向精准,内饰造型满意",323,"后备厢空间大,外观漂亮,整车配置特别高",159,7.4,9.4
悦翔V3,长安,小型车,4.12,49900,43900,64,乘坐空间小,4,"油耗满意,乘坐空间小,外观时尚",15,"油耗满意,外观时尚",11,6.1,6.1
利亚纳A6,铃木,小型车,4.07,60900,54900,54,"起步动力有点肉,隔音不好,发动机噪音略大",21,"乘坐空间满意,油耗满意,安全配置很到位,后备厢空间很大,外观比较耐看,起步动力有点肉,悬架减震舒适,隔音不好,前排座椅比较舒服,头部空间比较宽大",152,"乘坐空间满意,油耗满意,安全配置很到位",86,7.1,7.1
夏利N7,一汽,小型车,4.02,52900,48900,35,隔音差,5,"油耗满意,外观很漂亮,隔音差",37,"油耗满意,外观很漂亮",32,6.2,6.2
晶锐,斯柯达,小型车,3.96,109900,69900,32,"起步动力很肉,隔音不好,味道太重",21,"外观漂亮,安全配置挺高,乘坐空间够用,后备厢空间大,起步动力很肉,加速动力很稳,隔音不好,中控屏是亮点,前排空间够用,外漆面较厚",107,"外观漂亮,安全配置挺高,乘坐空间够用",55,6.6,7.1
夏利N5,一汽,小型车,3.93,48900,36900,32,"隔音不好,离合器踏板太大",8,"油耗满意,乘坐空间满意,隔音不好,外观很棒,转向精准,离合器踏板太大",39,"油耗满意,乘坐空间满意,外观很棒",28,5.5,6
雨燕,铃木,小型车,3.87,82800,54800,369,"后备厢空间小,车子配置太落后,隔音不好",138,"外观漂亮,油耗满意,乘坐空间够用,后备厢空间小,车子配置太落后,隔音不好,悬架减震偏硬,头部空间大,储物空间小,前排空间不错",533,"外观漂亮,油耗满意,乘坐空间够用",289,6.8,7.1
全球鹰K17,全球鹰,小型车,3.75,164800,164800,5,,0,乘坐空间合理,3,乘坐空间合理,3,,
瑞奕,现代,小型车,3.7,99900,72900,7,"外漆面太薄,悬架减震太硬,隔音很差",14,"乘坐空间够用,外观漂亮,悬架减震太硬,外漆面太薄,隔音很差,车灯不亮,胎噪不小",35,"乘坐空间够用,外观漂亮",15,6.5,8
威志V5,一汽,小型车,3.61,65900,52900,12,,0,油耗满意,8,油耗满意,8,6,7
名爵6,名爵,紧凑型车,4.69,146800,96800,3259,"悬架减震偏硬,胎噪有点大,车内静音效果不是很好",1217,"乘坐空间不错,外观漂亮,油耗满意,安全配置齐全,后备厢空间大,悬架减震偏硬,加速动力十足,胎噪有点大,转向手感很轻,后排空间大",7250,"乘坐空间不错,外观漂亮,油耗满意",3921,7.3,7.2
领克03,领克,紧凑型车,4.69,151800,116800,182,"发动机抖动,悬架减震偏硬,悬架有点硬",11,"乘坐空间足够,发动机抖动,外观超高,方向盘较轻,外观漂亮,底盘悬架扎实,前排座椅舒适,前排座椅很舒服,车内静音效果不错,方向盘很轻",45,"乘坐空间足够,外观超高,方向盘较轻",18,8.8,8.8
荣威i5,荣威,紧凑型车,4.69,115900,68900,387,"悬架减震偏硬,悬架减震比较硬",6,"油耗低,油耗满意,外观漂亮,前排座椅很舒服,前排座椅舒服,乘坐空间不错,方向盘很轻,储物空间很多,外观耐看,油耗最满意",52,"油耗低,外观漂亮,油耗满意",23,6.3,6.9
名爵6新能源,名爵,紧凑型车,4.69,186800,169800,233,"后备厢空间小,后备厢空间很有限,悬架偏硬",29,"外观漂亮,乘坐空间不挤,乘坐空间不错,外观没得说,后备厢空间小,加速动力非常强,后备厢空间很有限,后排空间更加宽敞,转向很精准,转向手感挺轻",163,"外观漂亮,乘坐空间不挤,乘坐空间不错",80,4,9.2
沃兰多,雪佛兰,紧凑型车,4.69,154900,119900,334,,0,"油耗低,空间比较大,乘坐空间最满意,方向盘很轻,前排座椅舒适,油耗满意,乘坐空间不错,乘坐空间灵活,乘坐空间压抑,外观时尚",51,"油耗低,空间比较大,乘坐空间最满意",28,8,11
荣威ei6,荣威,紧凑型车,4.68,222800,201800,624,"后备厢空间有点小,车内静音效果不太好,悬架减震有点硬",167,"外观漂亮,乘坐空间不错,后备厢空间有点小,车子配置蛮给力,乘坐空间够用,转向手感很轻,车内静音效果不太好,悬架减震有点硬,转向灵活,后排空间很大",798,"外观漂亮,乘坐空间不错,车子配置蛮给力",452,4.3,9.5
秦,比亚迪,紧凑型车,4.68,260650,132900,401,"电耗较高,胎噪比较明显,味道比较大",82,"外观线条流畅,内饰配置很丰富,乘坐空间够用,乘坐空间不错,内饰造型很丰富,后备厢空间挺大,车内静音效果不错,操控自如,转向精准,转向灵活",960,"外观线条流畅,内饰配置很丰富,乘坐空间够用",486,4.1,13.1
荣威360,荣威,紧凑型车,4.67,129900,77900,1249,"悬架减震有点硬,味道比较大,隔音不好",449,"油耗满意,乘坐空间不错,外观时尚,安全配置齐全,后备厢空间很大,转向手感很轻,悬架减震有点硬,味道比较大,隔音不好,操控非常灵活",3189,"油耗满意,乘坐空间不错,外观时尚",1899,7.8,6.6
福美来F5,海马,紧凑型车,4.67,92800,59800,54,隔音差一些,3,"油耗满意,外观很漂亮,乘坐空间很满意,后备厢空间挺大,外观漂亮,油耗低,车头灯很上档次,隔音差一些,外观大气",52,"油耗满意,外观很漂亮,乘坐空间很满意",31,6.4,7
缤瑞,吉利汽车,紧凑型车,4.66,110800,79800,346,"起步动力有点肉,起步动力肉,悬架偏硬",40,"油耗低,起步动力有点肉,外观漂亮,乘坐空间够用,外观时尚,外观最满意,前排座椅很舒服,起步动力肉,悬架偏硬,外观大气",153,"油耗低,外观漂亮,乘坐空间够用",65,7,7.2
逸动,长安,紧凑型车,4.65,106900,74900,415,"胎噪有点大,起步动力肉,悬架减震偏硬",106,"乘坐空间不错,油耗满意,外观漂亮,安全配置让人满意,安全配置丰富,转向手感很轻,转向精准,内饰造型满意,后排空间大,后备厢空间很大",1197,"乘坐空间不错,油耗满意,外观漂亮",701,7.2,7.7
传祺GA4,广汽传祺,紧凑型车,4.65,115800,73800,357,"胎噪有点大,悬架减震偏硬,悬架减震硬",84,"乘坐空间不错,外观时尚,安全配置丰富,转向手感很轻,后备厢空间很大,外观漂亮,车内静音效果不错,内饰造型比较满意,车子配置完全可以的,胎噪有点大",684,"乘坐空间不错,外观时尚,安全配置丰富",406,8.5,8.4
DS 5LS,DS,紧凑型车,4.64,229800,168800,15,,0,"乘坐空间够用,外观非常个性,后排空间宽敞,外观漂亮,高速油耗满意",21,"乘坐空间够用,外观非常个性,外观漂亮",15,8.4,8.4
菲斯塔,现代,紧凑型车,4.63,154800,119800,198,"悬架偏硬,悬架减震偏硬,悬架减震有点硬",14,"油耗低,外观时尚,乘坐空间够用,外观帅气,悬架偏硬,外观最满意,悬架减震偏硬,油耗可以接受,外观漂亮,方向盘很轻",69,"油耗低,外观时尚,乘坐空间够用",35,8,8
EU系列,北汽新能源,紧凑型车,4.62,79800,79800,56,"高速胎噪偏大,音响效果实在不敢恭维,悬架偏软",12,"乘坐空间不错,外观流畅,乘坐空间比较宽敞,外观比较耐看,操控感很好,电耗不太明显,后备厢空间够用,内饰造型满意,转向很灵活,转向手感较轻",127,"乘坐空间不错,外观流畅,乘坐空间比较宽敞",62,,
艾瑞泽EX,奇瑞,紧凑型车,4.62,82900,59900,39,,0,外观漂亮,4,外观漂亮,4,7.4,9.1
骏派A50,一汽,紧凑型车,4.62,72900,55900,183,"悬架减震偏硬,悬架减震有点硬,起步动力有点肉",34,"油耗满意,乘坐空间不错,车子配置比较丰富,外观很时尚,转向手感很轻,乘坐空间够用,转向非常轻松,悬架减震偏硬,后备厢空间很大,外观漂亮",385,"油耗满意,乘坐空间不错,车子配置比较丰富",187,7.5,7.5
艾瑞泽GX,奇瑞,紧凑型车,4.61,113900,74900,119,"悬架减震偏硬,悬架减震有点硬",10,"油耗低,悬架减震偏硬,外观漂亮,方向盘很轻,外观时尚,悬架减震有点硬,乘坐空间绰绰有余,乘坐空间够用,乘坐空间很不错",43,"油耗低,外观漂亮,外观时尚",19,8.8,8.4
帝豪GL,吉利汽车,紧凑型车,4.61,115800,78800,1003,"悬架减震偏硬,胎噪有点大,起步动力有点肉",407,"乘坐空间不错,油耗满意,安全配置丰富,外观漂亮,后备厢空间很大,转向精准,悬架减震偏硬,胎噪有点大,内饰造型满意,后排空间大",3018,"乘坐空间不错,油耗满意,安全配置丰富",1550,7.2,7.4
中华H3,中华,紧凑型车,4.6,88900,63900,340,"悬架减震有点硬,味道很大,起步动力肉",90,"乘坐空间不错,外观漂亮,油耗满意,内饰配置好了,后备厢空间很大,悬架减震有点硬,操控感还不错,转向精准,后排空间宽敞,转向手感很轻",1206,"乘坐空间不错,外观漂亮,油耗满意",674,7.2,7.4
科鲁兹,雪佛兰,紧凑型车,4.58,169900,109900,852,"胎噪有点大,悬架减震偏硬,起步动力有点肉",345,"乘坐空间不错,外观漂亮,油耗满意,安全配置齐全,后备厢空间很大,转向精准,后排空间很大,转向手感很轻,胎噪有点大,悬架减震偏硬",2687,"乘坐空间不错,外观漂亮,油耗满意",1456,7.8,6.9
阅朗,别克,紧凑型车,4.57,147900,119900,83,"内饰材质硬,胎噪有点大,悬架减震偏硬",45,"乘坐空间不错,外观时尚,油耗满意,安全配置比较高,后备厢空间大,转向手感挺轻,后排空间宽敞,转向精准,加速动力十足,储物空间很多",800,"乘坐空间不错,外观时尚,油耗满意",420,6.2,6.7
高尔夫·嘉旅,大众,紧凑型车,4.57,197900,131900,104,"胎噪有点大,起步动力肉,大灯不满意",53,"乘坐空间满意,油耗满意,外观漂亮,储物空间很多,后排空间大,后备厢空间很大,高速油耗满意,转向精准,胎噪有点大,内饰造型满意",490,"乘坐空间满意,油耗满意,外观漂亮",314,7.2,6.9
观致3,观致,紧凑型车,4.56,153900,98900,31,"起步动力肉,悬架减震偏硬,导航不好用",11,"油耗满意,外观漂亮,乘坐空间不错,高速油耗满意,安全配置很放心,转向精准,首保免费,后备厢空间很大,操控很棒,悬架减震偏硬",96,"油耗满意,外观漂亮,乘坐空间不错",53,8.2,9.5
荣威i6,荣威,紧凑型车,4.56,143800,89800,1501,"隔音不好,味道大,悬架偏硬",410,"乘坐空间不错,油耗满意,外观漂亮,安全配置齐全,隔音不好,转向手感很轻,转向精准,后备厢空间很大,味道大,后排空间很大",3339,"乘坐空间不错,油耗满意,外观漂亮",1926,6.4,6.3
骏派A70,一汽,紧凑型车,4.56,87800,64800,116,"起步动力肉,内饰造型不太满意,驾驶位电动座椅调节太慢",16,"乘坐空间够用,外观漂亮,油耗满意,车子配置不怎么满意,后备厢空间很大,操控轻便,后排空间大,转向手感很轻,大灯犀利,转向灵活",331,"乘坐空间够用,外观漂亮,油耗满意",189,6.9,7.5
秦Pro,比亚迪,紧凑型车,4.56,115800,79800,143,,0,"油耗低,方向盘很轻,外观漂亮,油耗能接受,空间宽敞,前排座椅很舒服,油耗满意,外观时尚,空间比较大,前排座椅舒服",49,"油耗低,方向盘很轻,外观漂亮",25,6.9,8.2
凯越,别克,紧凑型车,4.56,99900,83900,56,,0,"油耗满意,乘坐空间不错,后备厢空间挺大,外观一体化,前排座椅特别舒适,内饰造型满意",44,"油耗满意,乘坐空间不错,后备厢空间挺大",32,6.6,6.7
英朗,别克,紧凑型车,4.55,144900,109900,1680,"味道比较大,起步动力有点肉,胎噪有点大",449,"乘坐空间不错,油耗满意,外观时尚,安全配置比较高,后备厢空间很大,转向手感很轻,后排空间大,转向精准,内饰造型很满意,动力很好",6211,"乘坐空间不错,油耗满意,外观时尚",3347,6.4,6.9
悦动,现代,紧凑型车,4.55,115900,79900,275,"悬架减震太硬,胎噪比较大,隔音不算好",74,"乘坐空间不错,油耗满意,外观时尚,安全配置比较齐全,后备厢空间很大,后排空间大,悬架减震太硬,内饰造型还不错,胎噪比较大,隔音不算好",551,"乘坐空间不错,油耗满意,外观时尚",325,6.4,7.5
卡罗拉,丰田,紧凑型车,4.55,175800,107800,2729,"隔音不好,悬架减震比较硬,胎噪有点大",999,"油耗满意,乘坐空间不错,外观漂亮,安全配置,后排空间大,后备厢空间很大,隔音不好,转向精准,转向手感很轻,悬架减震比较硬",7688,"油耗满意,乘坐空间不错,外观漂亮",4553,6.7,7.3
骏派CX65,一汽,紧凑型车,4.53,76900,68900,58,起步动力比较肉,3,"油耗没的说,乘坐空间很充裕,外观漂亮,后备厢空间很够用,安全配置良心,转向精准,油耗低,内饰造型不赖,转向手感很轻,后排空间很够用",83,"油耗没的说,乘坐空间很充裕,外观漂亮",47,7,7
东南A5翼舞,东南,紧凑型车,4.53,75900,49900,58,,0,"油耗低,油耗很满意",6,"油耗低,油耗很满意",6,6.4,7.6
威朗,别克,紧凑型车,4.53,185900,135900,1421,"起步动力肉,悬架减震有点硬,倒车影像没有大大的",428,"外观漂亮,乘坐空间不错,车子配置很高,后备厢空间很大,车内静音效果不错,内饰造型满意,转向精准,转向手感很轻,起步动力肉,后排空间很大",3645,"外观漂亮,乘坐空间不错,车子配置很高",1919,6.7,8.1
标致308S,标致,紧凑型车,4.52,179700,112700,617,"后排空间小,安全配置没有配备,胎噪比较大",212,"外观漂亮,油耗满意,后排空间小,安全配置没有配备,乘坐空间够用,隔音好,操控棒,车尾灯漂亮,内饰造型简洁,转向精准",787,"外观漂亮,油耗满意,乘坐空间够用",398,6.1,7
朗行,大众,紧凑型车,4.52,162900,112900,583,"悬架减震偏硬,起步动力有点肉,内饰造型太强",165,"乘坐空间不错,油耗满意,外观时尚,后备厢空间很大,转向手感很轻,安全配置齐全,悬架减震偏硬,转向精准,后排空间很大,操控很棒",1810,"乘坐空间不错,油耗满意,外观时尚",1087,6.2,7.3
标致408,标致,紧凑型车,4.52,169700,119700,9,胎噪比较大,8,"乘坐空间够用,油耗满意,胎噪比较大,外观漂亮,乘坐空间满意,内饰造型满意,后排空间大,外观流畅",49,"乘坐空间够用,油耗满意,外观漂亮",28,10.9,10.9
远景,吉利汽车,紧凑型车,4.52,72900,53900,702,"胎噪有点大,悬架偏硬,味道有点重",126,"乘坐空间够用,外观漂亮,安全配置丰富,后备厢空间很大,内饰造型很满意,转向手感很轻,安全配置比较到位,转向精准,后排空间大,高速油耗满意",1386,"乘坐空间够用,外观漂亮,安全配置丰富",759,6.6,7.5
C4世嘉,雪铁龙,紧凑型车,4.5,141800,98800,160,"后排空间小,起步动力肉,导航不流畅",60,"油耗满意,乘坐空间够用,后备厢空间大,安全配置一应俱全,外观漂亮,后排空间小,隔音好,转向精准,车尾灯比较好看,外漆面很亮",426,"油耗满意,乘坐空间够用,后备厢空间大",193,6.5,7.1
菲翔,菲亚特,紧凑型车,4.5,141800,100800,5,,0,乘坐空间足够,3,乘坐空间足够,3,9,9
东风风神E70,东风风神,紧凑型车,4.5,236800,212800,7,,0,"乘坐空间很充足,外观很满意,续航里程不错",10,"乘坐空间很充足,外观很满意,续航里程不错",10,,
景逸S50,东风风行,紧凑型车,4.49,102900,65900,106,"悬架减震有点硬,胎噪有点大,发动机噪音比较大",24,"乘坐空间满意,外观漂亮,油耗满意,车型配置好,后排空间大,后备厢空间大,内饰造型挺满意,转向精准,隔音不错,车灯很亮",313,"乘坐空间满意,外观漂亮,油耗满意",184,7.2,7.5
宝骏310W,宝骏,紧凑型车,4.48,69800,42800,416,"胎噪有点大,外漆面太薄,味道大",112,"乘坐空间满意,油耗满意,外观时尚,安全配置齐全,后备厢空间大,后排空间大,悬架减震偏舒适,转向手感很轻,定速巡航大屏幕,胎噪有点大",1246,"乘坐空间满意,油耗满意,外观时尚",764,6.5,6.8
东风风神A60,东风风神,紧凑型车,4.48,83700,69700,231,"悬架减震很硬,隔音不好,胎噪很明显",49,"乘坐空间不错,外观漂亮,油耗满意,车子配置丰富,后备厢空间很大,转向精准,悬架减震很硬,操控非常灵活,转向手感很轻,隔音不好",522,"乘坐空间不错,外观漂亮,油耗满意",340,6.9,7.1
捷达,大众,紧凑型车,4.48,108800,81100,36,"悬架减震有点硬,起步动力肉,胎噪有点大",76,"油耗满意,乘坐空间不错,后备厢空间大,外观时尚,悬架减震有点硬,保养费用便宜,起步动力肉,高速油耗满意,转向精准,定速巡航轻松",472,"油耗满意,乘坐空间不错,后备厢空间大",276,6.2,5.9
